=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/AU/3p-crawl
Date: 2026-03-27T12:22:26.715Z

--- Summary ---
Total JSON files: 98982
Files with potential popups: 72173
Total potential popups: 98530
  └─ AI-confirmed cookie popups: 13663
      └─ No reject buttons: 7701
          └─ No settings buttons: 5104 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 2141 entries) ---
Count | Button Text
------+------------
 1197 | privacy policy
 1010 | accept
  662 | ok
  531 | learn more
  509 | cookie policy
  279 | got it!
  156 | close
  145 | i agree
  132 | got it
  119 | read more
  114 | accept all
  110 | more information
  110 | more info
   98 | accept cookies
   92 | cookies policy
   91 | terms of use
   85 | privacy statement
   83 | accept all cookies
   77 | here
   76 | show details
   76 | i accept
   76 | x
   74 | learn more…
   73 | continue
   73 | cookie policy.
   69 | agree
   66 | i understand
   64 | privacy policy.
   59 | english
   55 | allow cookies
   53 | cookies
   52 | terms and conditions
   51 | terms of service
   50 | dismiss
   43 | no
   38 | confirm
   38 | click here
   34 | no, thanks
   34 | okay
   33 | allow all
   31 | impressum
   31 | datenschutzerklärung
   31 | accept and close
   31 | exit
   30 | agree and close
   30 | find out more
   30 | yes, i understand.
   29 | enter
   29 | accept close
   29 | details
   28 | use of cookies
   28 | cookie notice
   27 | accept and continue
   27 | learn more.
   26 | allow selection
   23 | privacy notice
   23 | terms conditions
   20 | opt-out preferences
   19 | accept dismiss
   19 | ok, i agree
   19 | terms
   18 | about
   18 | allow all cookies
   17 | ok, got it
   17 | privacy
   17 | disagree and close
   16 | cookie consent tool
   16 | alle akzeptieren
   15 | privacy and cookie policy
   15 | here.
   15 | yes
   15 | exit here
   15 | consent
   15 | datenschutzhinweisen
   14 | imprint
   14 | leave
   14 | understood
   14 | our partners
   14 | akzeptieren
   14 | yes, i accept
   14 | cookies policy.
   13 | partner
   13 | disagree
   13 | im over 18
   13 | privacy and cookie policy opens in a new tab.
   12 | speichern von oder zugriff auf informationen auf einem endgerät
   12 | tell me more
   12 | our privacy policy
   12 | save selection
   12 | store andor access information on a device
   11 | personalisierte werbung und inhalte, messung von werbeleistung und der performance von inhalten, zielgruppenforschung sowie entwicklung und verbesserung von angeboten
   11 | política de cookies
   11 | datenschutz
   11 | agree and continue
   11 | einstellungen
   11 | cookie
   11 | datenschutzeinstellungen
   10 | learn more...
   10 | fine print
   10 | yes, i agree
   10 | opt out
   10 | parental control guide
   10 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
   10 | agree to all
   10 | change here
   10 | rifiuta e abbonati
   10 | werbefrei für 3,99€ monat
    9 | cookies guide
    9 | english▼
    9 | privacy preferences
    9 | personalised advertising and content, advertising and content measurement, audience research and services development
    9 | hier
    9 | read our privacy policy
    9 | faq
    9 | mit contentpass einloggen
    9 | data privacy
    8 | allow
    8 | accept continue
    8 | our cookie policy
    8 | cookie declaration
    8 | legal notice
    8 | partners
    8 | view cookie policy
    8 | configuration
    8 | datenschutzhinweise
    7 | privacy notification
    7 | no, adjust
    7 | ok!
    7 | i accept cookies
    7 | elfogadom
    7 | további lehetőségek
    7 | ok, i understand
    7 | cookie statement
    7 | see details
    6 | leave site
    6 | agree close
    6 | use of cookies.
    6 | view our partners
    6 | learn more and customize
    6 | confirm my choices
    6 | i disagree
    6 | no thanks
    6 | ok, thanks
    6 | accepter
    6 | versant
    6 | en savoir plus
    6 | view our privacy policy
    6 | sign in
    6 | cookie policy page
    6 | manage your cookies and learn more.
    6 | no, give me more info
    6 | drittanbieter
    6 | accetta e continua
    6 | accedi
    6 | pannello delle preferenze pubblicitarie
    5 | data protection policy
    5 | more info...
    5 | accetta
    5 | hier anmelden
    5 | personalize my choices
    5 | personalize
    5 | preferenze cookies
    5 | about cookies
    5 | cancel
    5 | click here.
    5 | ​
    5 | log in
    5 | privacy center
    5 | alle cookies akzeptieren
    5 | about this tool (opens in a new window)
    5 | aceptar
    5 | opt-out
    5 | mehr erfahren
    5 | ок
    5 | more details
    5 | i accept all cookies
    5 | 同意
    5 | 同意する
    5 | reject all non-essential cookies and continue
    5 | accept all cookies and continue
    5 | accept selection
    5 | save
    5 | vreau sa modific setarile individual
    5 | accept toate
    5 | listă parteneri (furnizori)
    5 | aici
    5 | mai multe detalii
    5 | privacy page
    5 | συμφωνω
    5 | διαφωνω
    5 | περισσοτερες επιλογες
    5 | manage preferences ​
    5 | nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter
    5 | datenschutzerklärung von utiq
    5 | consenthub
    5 | utiq jetzt ablehnen
    5 | unterstützte internetverbindung
    5 | über 600 andere websites
    5 | drittanbietern
    5 | 閉じる
    5 | .
    5 | paramétrer
    5 | prisma media
    5 | save preferences
    4 | learn more about how we use cookies
    4 | thats fine
    4 | our use of cookies
    4 | find out more.
    4 | i agree - enter
    4 | im ok with that
    4 | not accept
    4 | contact us
    4 | accetto tutti i cookies
    4 | privacy policy and cookie policy
    4 | no, manage settings
    4 | website terms of use
    4 | ok, got it.
    4 | i do not agree
    4 | cookie notice.
    4 | accept and proceed
    4 | accetto
    4 | podrobné nastavení
    4 | sign up
    4 | review
    4 | okay!
    4 | register
    4 | no, thank you
    4 | saznajte više
    4 | privacy charter
    4 | view our cookie policy
    4 | クッキーポリシー
    4 | preferenze
    4 | website privacy statement
    4 | godta alle
    4 | liste der partner (lieferanten)
    4 | ok, accept all
    4 | cookies page
    4 | browser settings
    4 | close cookie banner
    4 | login
    4 | einverstanden
    4 | cerise media
    4 | contentpass faq
    4 | save settings
    4 | edit your preferences
    4 | actively scan device characteristics for identification
    4 | use precise geolocation data
    4 | australia
    4 | sharing settings
    3 | other options
    3 | choose
    3 | cookie consent
    3 | données personnelles
    3 | enter site
    3 | i disagree - exit this site
    3 | our privacy and cookie policy.
    3 | learn more and customise
    3 | our 9 partners
    3 | принять
    3 | privacy policy here
    3 | ok, i accept
    3 | privacy policy page
    3 | about us
    3 | home
    3 | subscribe
    3 | ▾
