=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/CH/3p-crawl
Date: 2026-03-27T14:43:12.382Z

--- Summary ---
Total JSON files: 99894
Files with potential popups: 79976
Total potential popups: 120128
  └─ AI-confirmed cookie popups: 39722
      └─ No reject buttons: 19962
          └─ No settings buttons: 13584 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 5573 entries) ---
Count | Button Text
------+------------
 2136 | ok
 1865 | datenschutzerklärung
 1054 | privacy policy
  815 | akzeptieren
  732 | impressum
  727 | alle akzeptieren
  635 | learn more
  600 | accept
  553 | datenschutz
  534 | cookie policy
  363 | weitere informationen
  313 | mehr erfahren
  262 | accept all
  255 | got it!
  252 | einverstanden
  240 | nein
  213 | en savoir plus
  211 | select cookies
  207 | schliessen
  206 | accepter
  204 | verstanden
  196 | mehr informationen
  187 | details
  184 | zustimmen
  183 | ja
  180 | anpassen
  151 | hier
  147 | cookies
  145 | jaccepte
  143 | cookie-richtlinie
  139 | datenschutzcenter
  136 | alle cookies akzeptieren
  136 | allow all
  130 | politique de confidentialité
  126 | i agree
  125 | ich stimme zu
  125 | agree and close
  124 | mehr infos
  122 | alle zulassen
  120 | more info
  120 | datenschutzbestimmungen
  118 | accept all cookies
  115 | cookie einstellungen
  111 | agree
  108 | more information
  107 | close
  106 | okay
  105 | datenschutzerklärung.
  101 | einstellungen ändern
  101 | auswahl bestätigen
  101 | got it
   99 | details anzeigen
   99 | datenschutzhinweisen
   98 | auswahl speichern
   98 | show details
   98 | x
   96 | ich lehne ab
   92 | über cookies
   91 | i accept
   89 | zustimmung
   84 | datenschutzinformationen
   82 | here
   81 | tout accepter
   79 | hinweis schliessen
   78 | cookies akzeptieren
   76 | zwecke anzeigen
   75 | accetta
   73 | accept cookies
   72 | disagree and close
   69 | privacy policy page
   69 | datenschutzeinstellungen
   68 | partner
   68 | read more
   67 | datenschutzhinweise
   66 | eu law
   66 | ich bin einverstanden
   65 | liste der partner (lieferanten)
   64 | list of partners (vendors)
   64 | agb
   64 | imprint
   64 | cookies policy
   62 | non
   62 | auswahl erlauben
   61 | política de cookies
   61 | details zeigen
   61 | schließen
   60 | terms of use
   58 | save selection
   58 | zur datenschutzerklärung
   57 | datenschutzrichtlinie
   56 | ok!
   55 | privacy statement
   54 | continue
   54 | verstanden!
   53 | no thanks
   53 | personalisieren
   52 | terms and conditions
   52 | einstellungen speichern
   50 | einstellungen verwalten
   50 | ok, verstanden
   49 | accetto
   49 | english
   48 | powered by
   46 | mehr optionen
   46 | aceptar
   45 | no, thanks
   44 | alle cookies erlauben
   44 | details ansehen
   44 | alles auswählen
   42 | alle auswählen
   41 | verbiete alle cookies
   41 | wordpress cookie hinweis von real cookie banner
   41 | cookies zulassen
   41 | oui
   41 | protection des données
   40 | details einblenden
   40 | mehr dazu
   40 | alles akzeptieren
   40 | learn more…
   39 | cookie consent mit real cookie banner
   39 | einstellungen anpassen
   39 | login
   39 | cookie-richtlinien
   38 | accept none
   38 | annehmen
   37 | accepter tout
   37 | weitere infos
   37 | auswahl akzeptieren
   36 | i understand
   36 | remind me later
   36 | legal notice
   36 | alle cookies zulassen
   36 | cookies verwalten
   35 | plus doptions
   35 | no
   35 | plus dinformations
   34 | consent
   34 | fermer
   34 | exit
   34 | allow all cookies
   34 | politique de cookies
   34 | terms of service
   34 | accetta e chiudi
   34 | paramétrer vos choix
   33 | informativa sulla privacy
   32 | nutzungsbedingungen
   32 | datenschutzrichtlinien
   32 | hier anmelden
   32 | terze parti
   31 | partners
   31 | das ist ok
   30 | scopri di più e personalizza
   30 | www.youronlinechoices.eu
   30 | personalizza
   30 | rifiuta e abbonati
   29 | individuelle einstellungen
   29 | präferenzen
   29 | store andor access information on a device
   29 | alle erlauben
   29 | no, adjust
   29 | enter
   29 | allow cookies
   28 | privacy notice
   28 | partenaires
   28 | einstellungen oder ablehnen
   28 | nostri partner
   27 | einstellungen ansehen
   27 | mehr
   27 | privacy policy.
   27 | accepter les cookies
   26 | about
   26 | akzeptieren und weiter
   26 | accetta tutti
   26 | finalità pubblicitarie
   26 | privacy
   25 | use of cookies
   25 | alles klar!
   25 | weiterlesen
   25 | jetzt abonnieren
   24 | i agree!
   24 | notwendige cookies
   24 | mehr infos in unseren datenschutzhinweisen
   24 | personalised advertising and content, advertising and content measurement, audience research and services development
   24 | datenschutz-manager
   24 | gestisci le opzioni
   24 | accedi
   24 | einwilligen und weiter
   24 | faq
   23 | elfogadom
   23 | accept and continue
   23 | mentions légales
   23 | werbefrei für 3,99€ monat
   23 | nein, anpassen
   23 | yes, i understand.
   22 | view partners
   22 | ok, got it
   22 | marketing
   22 | mehr info
   22 | erfahren sie mehr
   22 | zeige details
   22 | datenschutz-seite
   22 | maggiori informazioni
   21 | cookie policy.
   21 | datenschutzbestimmungen.
   21 | learn more.
   21 | our privacy policy
   21 | mehr lesen
   21 | mehr erfahren und anpassen
   21 | purposes
   21 | summary
   20 | okay!
   20 | további lehetőségek
   20 | nicht zustimmen
   20 | datenschutz-bestimmungen
   20 | hier einloggen
   20 | weiter
   20 | speichern von oder zugriff auf informationen auf einem endgerät
   20 | nur essentielle cookies akzeptieren
   20 | más información
   20 | more details
   20 | mit contentpass einloggen
   19 | accepter fermer
   19 | jai compris
   19 | voir les préférences
   19 | datenschutzhinweisen (pur)
   19 | our partners
   19 | optionen verwalten
   19 | allen zustimmen
   18 | terms
   18 | contentpass faq
   18 | 1703 partners
   18 | accetta e continua
   18 | cookie-nutzung
   18 | lassen sie mich wählen
   18 | drittanbieter
   18 | cookie-center
   17 | dismiss
   17 | kontakt
   17 | ich akzeptiere
   17 | ок
   17 | accept close
   17 | learn more and customize
   17 | polityce prywatności
   17 | più opzioni
   17 | liste complète
   17 | cookie notice
   17 | cookie-informationen anzeigen
   17 | cookie-erklärung
   17 | einverstanden!
   17 | cookie-details
   17 | click here
   17 | save
   16 | liste de nos partenaires (fournisseurs)
   16 | log in
   16 | nein danke
   16 | réglages
   16 | accepter et continuer
   16 | notwendige zulassen
   16 | datenschutzerklärung lesen
   16 | política de privacidad
   16 | en
   16 | bestätigen
   16 | terms conditions
   16 | yes
   16 | abschnitt einzelheiten
   16 | changer mes préférences
   15 | individuelle cookie-einstellungen
   15 | details einblenden für essenziell
   15 | accept continue
   15 | privacy and cookie policy
   15 | alles klar
   15 | view our partners
   15 | consent management platform von real cookie banner
   15 | disagree
   15 | save settings
   15 | yes, i agree
   15 | configurar
   15 | swisscom directories ag cookie policy.
   15 | voir les conditions de loffre
   15 | cliquant ici
   15 | agree to all
   15 | speichern schließen
   15 | accept and close
   15 | accetta tutti i cookie
   15 | akzeptieren wie ausgewählt
   15 | https:developers.google.comanalyticsdevguidescollectionanalyticsjscookie-usage?hl=degtagjs_google_analytics_4_-_cookie_usage
   15 | datenschutz-einstellungen
   14 | paramétrer les cookies
   14 | leave
   14 | politique relative aux cookies
   14 | cookie
   14 | data protection
   14 | datenschutzhinweis
   14 | cookies anpassen
   14 | erfahre mehr…
   14 | conditions dutilisation
   14 | 177 partner
   14 | vis detaljer
   14 | afvis alle
   14 | se connecter
   14 | only accept technically necessary cookies
   14 | je suis daccord
   13 | daten­schutz­erklärung
   13 | afficher toutes les finalités
   13 | deutsch
   13 | souhlasím
   13 | ausblenden
   13 | einstellungen anzeigen
   13 | einstellungen übernehmen
   13 | nicht einverstanden
   13 | individuell anpassen
   13 | aceptar y continuar
   13 | aviso legal
   13 | hier.
   13 | withdraw consent
   13 | mostra dettagli
   13 | dostosuj
   13 | impostazioni
   13 | mehr erfahren.
   13 | cookie-informationen
   13 | für weitere informationen beachten sie bitte unsere datenschutzerklärung.
   13 | impostazioni cookie
   12 | cookie richtlinien
   12 | gesamte funktionalität
   12 | essentielle cookies
   12 | wordpress cookie plugin von real cookie banner
   12 | privatsphäre-einstellungen individuell festlegen
   12 | liste der anbieter
   12 | notwendige cookies erlauben
   12 | preferenze cookies
   12 | afficher les détails
   12 | cookies erlauben
   12 | contact
   12 | ok, i agree
   12 | daccord
   12 | understood
   12 | plus dinfos
   12 | exit here
   12 | im over 18
   12 | politica sui cookie
   12 | confirm selection
   12 | preferenze
   12 | optionen
   12 | nein, individuell entscheiden
   12 | ja, alle erlauben
   12 | alle akzeptieren!
   12 | politique en matière de cookies
   12 | gérer les cookies
   12 | ici
   12 | accepter tous les cookies
   12 | datenschutz-richtlinien
   12 | häufig gestellten fragen (faq)
   12 | anzeigeneinstellungen
   12 | nuestros socios
   12 | find out more
   12 | lire les mentions légales
   12 | essentielle
   11 | wordpress.com network
   11 | ok, ich stimme zu
   11 | verwaltung der cookies
