=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
------+------------
 4237 | datenschutzerklärung
 3506 | impressum
 2571 | alle akzeptieren
 1832 | einstellungen
 1687 | ok
 1501 | datenschutz
 1254 | alle cookies akzeptieren
 1087 | akzeptieren
  904 | speichern
  873 | konfigurieren
  806 | mehr informationen ...
  751 | privacy policy
  748 | nur technisch notwendige
  549 | zustimmen
  530 | weitere informationen
  512 | learn more
  502 | speichern von oder zugriff auf informationen auf einem endgerät
  473 | cookie-einstellungen
  457 | personalisierte werbung und inhalte, messung von werbeleistung und der performance von inhalten, zielgruppenforschung sowie entwicklung und verbesserung von angeboten
  456 | datenschutzhinweisen
  451 | details
  448 | mehr erfahren
  425 | individuelle datenschutzeinstellungen
  422 | partner
  416 | accept
  409 | cookie-details
  363 | cookie policy
  359 | alle auswählen
  355 | datenschutzeinstellungen
  339 | mehr informationen
  331 | hier
  312 | cookie-richtlinie
  310 | einverstanden
  307 | auswahl bestätigen
  307 | auswahl speichern
  290 | anpassen
  271 | cookies
  268 | mehr infos
  250 | accept all
  239 | details anzeigen
  227 | got it!
  226 | zustimmung
  220 | über cookies
  218 | alles akzeptieren
  202 | verstanden
  198 | alle zulassen
  192 | agb
  186 | datenschutzbestimmungen
  184 | endgeräteeigenschaften zur identifikation aktiv abfragen
  181 | verwendung genauer standortdaten
  179 | nur essentielle cookies akzeptieren
  177 | datenschutzcenter
  176 | datenschutzhinweise
  175 | show details
  174 | ich stimme zu
  172 | schließen
  170 | cookies akzeptieren
  170 | alle abwählen
  159 | ich lehne ab
  153 | drittanbieter
  153 | nein
  149 | einstellungen ändern
  148 | cookie-informationen anzeigen
  146 | einstellungen speichern
  134 | kontakt
  133 | mit contentpass einloggen
  131 | datenschutzrichtlinie
  129 | more information
  126 | annehmen
  123 | ablehnen oder einstellungen
  121 | details zeigen
  119 | okay
  119 | akzeptieren schließen
  118 | contentpass faq
  116 | verstanden!
  113 | agree and close
  113 | datenschutzhinweis
  110 | einstellungen oder ablehnen
  110 | allow selection
  107 | hier anmelden
  107 | auswahl erlauben
  106 | cookies zulassen
  105 | datenschutzerklärung.
  104 | alle cookies zulassen
  101 | individuelle einstellungen
  100 | cookie einstellungen
  100 | cookie consent mit real cookie banner
  100 | akzeptieren und weiter
  100 | auswahl akzeptieren
   97 | präferenzen
   96 | close
   96 | imprint
   96 | einwilligung
   93 | speichern schließen
   93 | allow all
   93 | 716 weitere websites
   91 | more info
   91 | i agree
   91 | personenbezogenen daten
   90 | einwilligen weiter
   90 | entgeltfrei.
   89 | einstellungen anpassen
   88 | ablehnen abonnieren
   87 | mehr optionen
   87 | x
   87 | marketing
   84 | alle cookies erlauben
   82 | notwendige cookies
   79 | ok, verstanden
   79 | datenschu tzerklärung
   79 | details einblenden
   78 | privacy policy page
   78 | zurück
   77 | eu law
   77 | weitere informationen anzeigen
   75 | wordpress cookie hinweis von real cookie banner
   75 | accept all cookies
   74 | consent
   74 | genaue standortdaten und identifikation durch scannen von endgeräten
   73 | faq
   71 | allow all cookies
   70 | jetzt abonnieren
   68 | berechtigten interesses
   66 | list of partners (vendors)
   63 | got it
   62 | werbefrei für 3,99€ monat
   62 | zur datenschutzerklärung
   61 | about
   61 | einstellungen verwalten
   60 | cookie-center
   59 | einwilligen und weiter
   58 | hide
   58 | alle erlauben
   57 | ok!
   57 | here
   56 | ich akzeptiere
   56 | allen zustimmen
   56 | login
   55 | read more
   55 | accept cookies
   54 | nutzungsbedingungen
   54 | cookies policy
   53 | terms of use
   52 | mehr dazu in unserer datenschutzerklärung.
   52 | disagree and close
   52 | ich akzeptiere alle
   51 | individuelle datenschutz-präferenzen
   50 | datenschutz-einstellungen
   50 | das ist ok
   50 | anbieter
   49 | mehr dazu
   49 | erweiterte einstellungen
   48 | ausblenden
   47 | partnern
   46 | zur kenntnis genommen
   46 | speichern schliessen
   45 | agree
   45 | datenschutz-manager
   45 | weiterlesen
   45 | mehr über die genutzten cookies erfahren
   45 | wie beschrieben
   45 | alle akzeptieren!
   44 | mehr
   44 | english
   43 | terms and conditions
   43 | ausgewählte cookies akzeptieren
   43 | cookies verwalten
   42 | cookie-richtlinien
   42 | hier einloggen
   42 | akzeptieren wie ausgewählt
   42 | https:developers.google.comanalyticsdevguidescollectionanalyticsjscookie-usage?hl=degtagjs_google_analytics_4_-_cookie_usage
   41 | store andor access information on a device
   40 | individuelle cookie-einstellungen
   40 | personalisieren
   40 | save selection
   39 | privacy center
   38 | wordpress cookie plugin von real cookie banner
   38 | allow cookies
   38 | datenschutzinformationen
   38 | nicht zustimmen
   38 | liste der partner (lieferanten)
   38 | speichern und schliessen
   37 | technisch notwendig
   37 | info
