=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/FR/3p-crawl
Date: 2026-03-27T12:19:16.860Z

--- Summary ---
Total JSON files: 99842
Files with potential popups: 80931
Total potential popups: 120562
  └─ AI-confirmed cookie popups: 41475
      └─ No reject buttons: 15789
          └─ No settings buttons: 12683 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 4730 entries) ---
Count | Button Text
------+------------
 1813 | ok
 1420 | en savoir plus
 1097 | accepter
 1030 | politique de confidentialité
  945 | learn more
  768 | privacy policy
  726 | jaccepte
  714 | personnaliser
  531 | tout accepter
  477 | accept
  476 | agree and close
  428 | disagree and close
  425 | cookie policy
  277 | non
  256 | accepter tout
  235 | got it!
  218 | ok, tout accepter
  205 | cookies
  197 | paramètres des cookies
  196 | jai compris
  194 | personalize
  178 | accept all
  176 | politique de cookies
  175 | ok, accept all
  162 | paramètres
  156 | non merci
  151 | ok !
  146 | interdire tous les cookies
  146 | paramétrer
  146 | plus dinformations
  138 | fermer
  136 | autoriser tous les cookies
  122 | partenaires
  117 | i agree
  116 | mentions légales
  115 | more information
  113 | je choisis
  112 | impressum
  111 | accepter les cookies
  111 | oui
  111 | x
  110 | datenschutzerklärung
  108 | plus doptions
  106 | show details
  105 | préférences
  105 | politique relative aux cookies
   98 | ok pour moi
   97 | accepter tous les cookies
   95 | tout autoriser
   90 | got it
   88 | more info
   86 | en savoir plus.
   81 | afficher les détails
   80 | close
   80 | accepter et fermer
   80 | allow all
   80 | réglages
   73 | allow selection
   72 | our partners
   72 | voir les préférences
   70 | détails
   69 | details
   68 | privacy policy page
   67 | eu law
   67 | read more
   66 | terms of use
   66 | plus dinfos
   65 | consentement
   64 | list of partners (vendors)
   64 | politique en matière de cookies
   63 | understood
   63 | à propos des cookies
   63 | here
   62 | voir les partenaires
   60 | paramétrer les cookies
   59 | non, merci
   59 | accepter et continuer
   58 | cookies policy
   57 | non, merci.
   55 | accept cookies
   55 | prisma media
   55 | terms and conditions
   55 | accepter fermer
   55 | accept all cookies
   54 | english
   54 | política de cookies
   53 | speichern von oder zugriff auf informationen auf einem endgerät
   53 | cliquez ici
   52 | alle akzeptieren
   51 | view our 161 partners
   50 | continue
   48 | agree
   48 | ici
   48 | personalisierte werbung und inhalte, messung von werbeleistung und der performance von inhalten, zielgruppenforschung sowie entwicklung und verbesserung von angeboten
   46 | i accept
   45 | partner
   45 | einstellungen
   45 | personnaliser mes choix
   45 | our 1 partners
   44 | données personnelles
   44 | datenschutz
   44 | cerise media
   44 | conditions dutilisation
   42 | je suis daccord
   42 | configurer
   42 | en savoir +
   41 | gérer les préférences
   40 | consents certified by
   40 | datenschutzeinstellungen
   40 | about
   39 | déclaration de confidentialité
   39 | allow cookies
   39 | plus dinformation
   39 | akzeptieren
   38 | se connecter
   38 | déjà abonné ? se connecter
   38 | exit
   38 | partners
   38 | consent
   37 | data protection policy
   37 | gérer les cookies
   36 | réseau wordpress.com
   36 | i understand
   35 | no
   35 | consentements certifiés par
   35 | learn more…
   34 | sabonner
   34 | gestion des cookies
   34 | aceptar
   33 | quitter
   33 | identifiants partagés
   33 | espace de confidentialité
   33 | didentifiants partagés
   33 | daccord
   33 | personnaliser les cookies
   33 | powered by
   33 | protection des données
   32 | politique cookies
   32 | store andor access information on a device
   32 | datenschutzhinweisen
   31 | sauvegarder mes choix
   31 | terms of service
   31 | its 18 partners
   31 | allow all cookies
   30 | privacy policy.
   30 | jai compris !
   30 | politique de confidentialité.
   30 | no, thanks
   30 | enter
   29 | continuer sans consentement
   29 | view our partners
   29 | hier
   28 | définir les paramètres de confidentialité individuellement
   28 | autoriser les cookies
   28 | lire la politique de confidentialité
   28 | changer mes préférences
   27 | personalised advertising and content, advertising and content measurement, audience research and services development
   27 | autoriser la sélection
   27 | alle cookies akzeptieren
   26 | oui, jaccepte
   26 | personnalisez
   26 | décliner
   25 | apprendre encore plus
   25 | privacy statement
   25 | oui, je suis daccord
   25 | datenschutzcenter
   24 | politique des cookies
   24 | paramètres de confidentialité
   24 | préférences de confidentialité
   24 | our 8 partners
   24 | autoriser
   23 | en savoir plus...
   23 | cookie policy.
   23 | tout décliner
   23 | continuer
   23 | japprouve
   23 | okay
   23 | nos partenaires
   23 | essentiels uniquement
   22 | learn more.
   22 | désactiver les cookies
   22 | compte prisma connect
   22 | refuser et sabonner (1,99€) pour une expérience sans pub
   22 | jai plus de 18 ans
   22 | accetta
   22 | faq
   22 | mit contentpass einloggen
   21 | imprint
   21 | fonctionnels uniquement
   21 | en savoir plus sur notre politique de confidentialité
   21 | 247 partenaires
   21 | disagree
   21 | acceptez
   21 | purposes
   21 | summary
   21 | click here
   21 | guide sur le contrôle parental
   21 | 18 u.s.c. 2257 déclaration de conformité relative aux exigences en matière de conservation des documents
   21 | use of cookies
   21 | options...
   21 | tout décocher
   20 | accept and continue
   20 | protection de la vie privée cookies
   20 | zustimmen
   20 | our 5 partners
   20 | drittanbieter
   20 | 1703 partners
   20 | privacy
   20 | datenschutzhinweise
   20 | en savoir plus et personnaliser
   20 | werbefrei für 3,99€ monat
   19 | our 6 partners
   19 | no, adjust
   19 | en savoir plus sur les cookies
   19 | rifiuta e abbonati
   19 | non, ajuster
   19 | notre politique de confidentialité
   18 | choisir
   18 | tune configurer
   18 | jaccepte les cookies
   18 | our 980 partners
   18 | gérer les options
   18 | configuration
   17 | log in
   17 | en savoir plus…
   17 | done_all accepter
   17 | fermer la bannière des cookies gdpr
   17 | configurar
   17 | contentpass faq
   17 | refuser et fermer
   16 | exit here
   16 | im over 18
   16 | confidentialité
   16 | retirer le consentement
   16 | más información
   16 | privacy notice
   16 | lire la suite
   16 | cookie-einstellungen
   16 | dismiss
   16 | cliquant ici
   16 | liste de nos partenaires (fournisseurs)
   16 | konfigurieren
   16 | nur technisch notwendige
   16 | analytics storage
   15 | agree close
   15 | accept continue
   15 | ne pas accepter et fermer
   15 | pour en savoir plus
   15 | réglages des cookies
   15 | parental control guide
   15 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
   15 | jaccepte tout
   15 | cookie
   15 | conditions générales dutilisation
   15 | contact
   15 | agb
   15 | gérer mes préférences
   15 | política de privacidad
   15 | compris
   14 | accept and close
