=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/GB/3p-crawl
Date: 2026-03-27T12:16:39.514Z

--- Summary ---
Total JSON files: 99909
Files with potential popups: 80404
Total potential popups: 119532
  └─ AI-confirmed cookie popups: 43161
      └─ No reject buttons: 19592
          └─ No settings buttons: 10259 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 3532 entries) ---
Count | Button Text
------+------------
 1805 | privacy policy
 1534 | learn more
 1395 | accept
 1348 | ok
 1005 | cookie policy
  802 | got it!
  395 | accept all
  348 | show details
  334 | more info
  308 | read more
  275 | got it
  259 | accept cookies
  239 | more information
  226 | i agree
  215 | close
  200 | allow selection
  199 | agree
  191 | accept all cookies
  184 | allow all
  178 | allow cookies
  167 | here
  158 | cookies
  152 | details
  147 | x
  141 | i understand
  138 | cookies policy
  137 | i accept
  133 | continue
  129 | about
  129 | agree and close
  125 | consent
  124 | no, thanks
  120 | no thanks
  119 | store andor access information on a device
  116 | find out more
  108 | personalised advertising and content, advertising and content measurement, audience research and services development
  105 | list of partners (vendors)
  102 | learn more…
   99 | allow all cookies
   98 | partners
   96 | terms and conditions
   93 | precise geolocation data, and identification through device scanning
   92 | no
   87 | terms of use
   85 | analytics storage
   83 | privacy policy page
   83 | cookies page.
   77 | dismiss
   74 | eu law
   70 | privacy policy.
   70 | login here
   68 | i accept cookies
   66 | click here
   65 | okay
   64 | reject subscribe
   61 | disagree and close
   60 | accept close
   58 | purposes
   57 | summary
   55 | cookie policy.
   55 | ok, i agree
   54 | use of cookies
   51 | 1698 partners
   51 | pay to reject
   50 | accept and close
   48 | no, adjust
   47 | exit
   47 | english
   46 | privacy statement
   44 | terms of service
   43 | read our full privacy policy cookie information here
   41 | privacy notice
   40 | impressum
   40 | clicking here
   39 | yes, i agree
   39 | datenschutzerklärung
   38 | accept continue
   37 | about this tool (opens in a new window)
   36 | privacy
   36 | accept recommended settings
   35 | learn more.
   35 | ok, got it
   34 | enter
   32 | our partners
   32 | cookie notice
   30 | log in
   30 | read our privacy policy
   30 | política de cookies
   29 | cookies page
   28 | cookie consent plugin for the eu cookie law
   27 | accept and continue
   27 | opt out
   26 | okay, got it
   26 | save selection
   25 | terms conditions
   25 | learn more...
   24 | privacy and cookie policy
   24 | leave
   24 | allow
   23 | view our 161 partners
   23 | save and close
   23 | terms
   23 | reject pay
   22 | save preferences
   22 | yes
   22 | no, give me more info
   22 | see details
   22 | ok, i understand
   21 | login
   21 | here.
   21 | view privacy policy
   21 | contentpass faq
   20 | find out more.
   20 | alle akzeptieren
   19 | no, take me to settings
   19 | partner
   18 | more
   18 | imprint
   18 | disagree
   18 | our privacy policy
   18 | accept selected
   18 | privacy cookie policy
   18 | cookies notice
   17 | exit here
   17 | speichern von oder zugriff auf informationen auf einem endgerät
   17 | view our cookie policy
   17 | cookies policy.
   17 | contact
   16 | details section
   16 | withdraw consent
   16 | more details
   16 | personalisierte werbung und inhalte, messung von werbeleistung und der performance von inhalten, zielgruppenforschung sowie entwicklung und verbesserung von angeboten
   16 | save settings
   16 | privacy policy (opens in a new window)
   16 | about cookies
   16 | agree to all
   16 | change here
   16 | einstellungen
   16 | i accept all cookies
   15 | learn more and customise
   15 | ok, got it!
   15 | read about them here
   15 | datenschutzhinweisen
   14 | sign in
   14 | .
   14 | view cookie policy
   14 | dismiss this warning
   14 | accept selection
   14 | learn more and customize
   14 | privacy preferences
   14 | about this tool
   14 | powered by
   14 | akzeptieren
   14 | hier
   14 | privacy page
   14 | our 8 partners
   14 | cookies page (opens in a new window)
   14 | datenschutzeinstellungen
   14 | datenschutzcenter
   14 | en savoir plus
   13 | only accept necessary cookies
   13 | parental control guide
   13 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
   13 | im over 18
   13 | cookie declaration
   13 | do not use cookies
   13 | im ok with cookies
   13 | datenschutz
   13 | hide this message
   13 | thats ok
   13 | already a paying subscriber? login here
   13 | free with ads
   12 | our cookie policy
   12 | show vendors within this category
   12 | all cookies
   12 | cookie policy page
   12 | close cookie bar
   12 | polityce prywatności
   12 | learn more about cookies
   12 | about cookie control
   12 | legal notice
   12 | alle cookies akzeptieren
   12 | i only accept essential cookies
   11 | our 1014 partners
   11 | confirm
   11 | more info more info
   11 | accedi
   11 | agree and continue
   11 | ustawienia zaawansowane
   11 | elfogadom
   11 | további lehetőségek
   11 | accepter
   11 | opt-out preferences
   11 | read our policy
   11 | learn more about our cookies
   10 | sign up
   10 | personalised advertising, advertising measurement, audience research and services development
   10 | privacy cookies policy
   10 | only functional cookies
   10 | accept all continue
   10 | ok!
   10 | reject and manage cookies
   10 | configurar
   10 | view our partners
   10 | rifiuta e abbonati
   10 | agree close
   10 | configuration
   10 | search
   10 | nur technisch notwendige
   10 | find out more about cookies
   10 | find out more here
   10 | faq
   10 | actively scan device characteristics for identification
    9 | our 5 partners
    9 | akceptuję
    9 | subscribe
    9 | minimal cookies
    9 | more information…
    9 | already a contentpass user? log in here
    9 | third parties
    9 | english▼
    9 | accept all and continue
    9 | only allow essential cookies
    9 | read our cookie policy
    9 | akceptuję i przechodzę do serwisu
    9 | konfigurieren
    9 | mehr informationen ...
    9 | opt-out
    9 | afvis alle
    9 | no, thank you
    9 | privacy and cookie policy.
    9 | our use of cookies
    9 | aceptar y continuar
    9 | save selections
    9 | reject all except strictly necessary
    9 | ok, thanks
    9 | accept additional cookies (and dismiss cookie message)
    9 | deny additional cookies (and dismiss cookie message)
    9 | mit contentpass einloggen
    8 | powered by websitepolicies
    8 | confirm my choices
    8 | i disagree
    8 | ок
    8 | more about cookies
    8 | learn more about how we use cookies
    8 | marketing
    8 | συμφωνω
    8 | περισσοτερες επιλογες
    8 | save
    8 | understood
    8 | cookies.
    8 | zaufanych partnerów iab
    8 | manage consent
    8 | accept dismiss
    8 | more on cookies
    8 | yes, i accept
    8 | werbefrei für 3,99€ monat
    8 | datenschutzhinweise
    8 | nuestros socios
    8 | uniconsent
    7 | allow selected
    7 | view our privacy policy
    7 | allow selected cookies
    7 | instagram
    7 | italiano
    7 | polski
    7 | godta alle
    7 | blackboards terms of use
    7 | blackboards privacy statement
    7 | privacy, cookies and terms of use
    7 | 126 technology partners
    7 | advertising purposes
    7 | cookie
    7 | view policy
    7 | about us
    7 | home
    7 | okay, thanks
    7 | share
    7 | i agree!
    7 | im fine with this
    7 | see our privacy policy
    7 | confirm enter
    7 | register
    7 | thats fine
    7 | cookie-einstellungen
    7 | policy
    7 | zgadzam się
    7 | privacy page.
    7 | no thanks!
    7 | personalise
    7 | zaufani partnerzy
    7 | zaufani partnerzy iab
    7 | wirtualna polska
    7 | zaufanych partnerów
    7 | wirtualną polskę
    7 | zustimmen
    7 | paramétrer
    7 | withdraw
    7 | tcs
    7 | 435 partners
    7 | reject go ad-free
    7 | select cookies
    7 | διαφωνω
    6 | hyväksy kaikki
    6 | threads
    6 | meta ai
    6 | ray-ban meta
    6 | meta quest
    6 | meta pay
    6 | facebook lite
    6 | messenger
    6 | română
    6 | lietuvių
    6 | español
    6 | data protection policy
    6 | only the necessary cookies
    6 | overview
    6 | im ok with that
    6 | learn more here
    6 | edit your preferences
    6 | analytics
    6 | drittanbieter
    6 | personalize
    6 | en
    6 | contact us
    6 | cookie consent
    6 | click here.
    6 | accept recommended cookies
    6 | jetzt abonnieren
    6 | iab transparency and consent framework (tcf) (opens in a new window)
    6 | accetta e continua
    6 | aceptar
    6 | se connecter
    6 | 600+ other websites
