=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/NL/3p-crawl
Date: 2026-03-27T14:43:15.088Z

--- Summary ---
Total JSON files: 99906
Files with potential popups: 82152
Total potential popups: 123410
  └─ AI-confirmed cookie popups: 42571
      └─ No reject buttons: 19505
          └─ No settings buttons: 11830 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 5167 entries) ---
Count | Button Text
------+------------
 1551 | ok
 1002 | privacy policy
  738 | learn more
  729 | akkoord
  626 | meer informatie
  568 | accept
  535 | cookie policy
  528 | accepteren
  434 | privacybeleid
  382 | cookiebeleid
  323 | lees meer
  297 | alles accepteren
  278 | got it!
  266 | details
  253 | cookies
  220 | accept all
  208 | nee
  195 | accepteer alles
  189 | meer over cookies
  179 | cookieverklaring
  179 | hier
  175 | privacyverklaring
  166 | sluiten
  163 | accepteer
  161 | agree and close
  153 | details tonen
  149 | ik ga akkoord
  146 | more information
  134 | ja
  131 | alle cookies accepteren
  130 | show details
  126 | meer info
  125 | toestemming
  125 | i agree
  123 | impressum
  120 | ik snap het
  120 | over
  120 | datenschutzerklärung
  117 | more info
  110 | got it
  106 | close
  103 | accepteer alle cookies
  102 | privacy statement
   98 | privacy
   94 | partners
   93 | no
   90 | niet akkoord
   90 | read more
   89 | cookies accepteren
   88 | details weergeven
   88 | x
   88 | more on cookies
   86 | accepteer cookies
   86 | disagree and close
   84 | list of partners (vendors)
   83 | opslaan
   82 | alles toestaan
   80 | lees verder
   78 | accept cookies
   77 | nee, pas aan
   76 | privacy policy page
   75 | eu law
   75 | here
   74 | consent
   74 | alle cookies toestaan
   72 | oké
   71 | terms of use
   71 | dit bericht verbergen
   70 | about
   70 | accept all cookies
   67 | agree
   67 | terms and conditions
   66 | voorkeuren aanpassen
   66 | yes
   64 | liever niet
   62 | ok, got it
   61 | cookies policy
   60 | english
   60 | política de cookies
   60 | cookies toestaan
   58 | cookievoorkeuren
   58 | datenschutzcenter
   54 | ik begrijp het
   54 | voorkeuren beheren
   54 | learn more…
   53 | alle akzeptieren
   52 | stel voorkeuren in
   52 | selectie accepteren
   48 | i understand
   48 | accepteer selectie
   47 | nee, liever niet
   46 | instellingen beheren
   46 | i accept
   45 | overzicht
   45 | datenschutzhinweisen
   44 | our partners
   44 | terms of service
   44 | instellen
   43 | instellingen aanpassen
   43 | voorkeuren instellen
   43 | datenschutz
   43 | continue
   42 | принять
   42 | meer lezen
   41 | begrepen!
   41 | store andor access information on a device
   40 | exit
   40 | toestaan
   39 | imprint
   39 | privacy verklaring
   38 | allow all
   38 | allow cookies
   38 | cookies aanpassen
   37 | info
   37 | ik ga niet akkoord
   36 | view our 161 partners
   36 | cookies beheren
   35 | no, thanks
   35 | personalised advertising and content, advertising and content measurement, audience research and services development
   34 | ok!
   34 | akkoord en sluiten
   34 | ja, ik ga akkoord
   34 | partner
   34 | enter
   34 | meer weten?
   34 | allow all cookies
   33 | algemene voorwaarden
   33 | use of cookies
   33 | privacy beleid
   33 | no, adjust
   32 | hide this message
   32 | en savoir plus
   31 | meer weten
   31 | подробнее
   31 | akzeptieren
   30 | aanvaarden
   30 | cookie
   30 | beheer voorkeuren
   30 | cookie statement
   29 | privacy policy.
   29 | doeleinden
   28 | voorkeuren opslaan
   27 | agree close
   27 | хорошо
   26 | yes, i understand.
   25 | dismiss
   25 | prima!
   25 | понятно
   25 | klik hier
   25 | okay
   25 | bekijk onze 129 partners
   24 | instellingen wijzigen
   24 | lees meer en stel voorkeuren in
   24 | leave
   24 | privacy- en cookiebeleid
   24 | ок
   24 | begrepen
   24 | wijzig voorkeuren
   23 | cookie policy.
   23 | cookie beleid
   23 | i agree!
   23 | accept selection
   23 | login
   23 | alle cookies aanvaarden
   23 | aceptar
   23 | instellingen opslaan
   22 | elfogadom
   22 | log in
   22 | wijzig mijn voorkeuren
   22 | prima
   22 | lees meer over cookies
   22 | oke
   22 | pay to reject
   22 | lees hier meer over cookies
   21 | további lehetőségek
   21 | ons cookiebeleid
   21 | learn more.
   21 | privacy notice
   21 | exit here
   21 | purposes
   21 | summary
   21 | find out more
   21 | datenschutzeinstellungen
   21 | ja, ik accepteer cookies
   21 | privacy- en cookieverklaring
   20 | doorgaan
   20 | ik ga akkoord!
   20 | accetta
   20 | accept continue
   20 | accept and continue
   20 | accepteer alle
   20 | meer details
   20 | partners bekijken
   19 | partners weergeven
   19 | view partners
   19 | disclaimer
   19 | polityce prywatności
   19 | meer informatie over cookies
   19 | ons cookie beleid
   19 | our 29 partners
   18 | zustimmen
   18 | согласен
   18 | im over 18
   18 | ja, dat is prima
   18 | verbergen
   18 | 1698 partners
   18 | configurar
   18 | melding sluiten
   18 | save selection
   18 | click here
   18 | save
   18 | rifiuta e abbonati
   17 | ik geef toestemming
   17 | nederlands
   17 | our 12 partners
   17 | terms
   17 | parental control guide
   17 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
   17 | faq
   17 | aviso legal
   17 | sluit
   17 | indstillinger
   17 | cookievoorkeuren aanpassen
   17 | contact
   17 | informativa sulla privacy
   17 | akkoord!
   17 | precise geolocation data, and identification through device scanning
   16 | voorkeuren bekijken
   16 | akzeptieren und weiter
   16 | learn more and customize
   16 | ok, i agree
   16 | aceptar y continuar
   16 | voorkeuren wijzigen
   16 | privacyverklaring.
   16 | cookies instellen
   16 | cookiestatement
   16 | meer over ons cookiebeleid
   16 | afvis alle
   16 | ik accepteer cookies
   16 | analytics storage
   15 | accept and close
   15 | marketing
   15 | privacystatement
   15 | allow
   15 | overview
   15 | close cookie bar
   15 | learn more...
   15 | se connecter
   15 | politique de confidentialité
   15 | legal notice
   15 | datenschutzhinweise
   15 | doorgaan zonder toestemming
   15 | accedi
   15 | bekijk details
   15 | hier anmelden
   14 | privacy and cookie policy
   14 | legitiem belang
   14 | akceptuję
   14 | view our partners
   14 | nee, ik ga niet akkoord
   14 | accepter alle
   14 | jaccepte
   13 | sta cookies toe
   13 | accetta e chiudi
   13 | alle toestaan
   13 | powered by
   13 | политикой конфиденциальности
   13 | terze parti
   13 | más información
   13 | terms conditions
   13 | beheer opties
   13 | accepter
   13 | einverstanden
   13 | einwilligen und weiter
   12 | listă parteneri (furnizori)
   12 | kun nødvendige
   12 | nutzungsbedingungen
   12 | werbefrei für 3,99€ monat
   12 | disagree
   12 | auswahl bestätigen
   12 | terug
   12 | accepteren en doorgaan
   12 | privacy cookie policy
   12 | read our privacy policy
   12 | accept close
   12 | agree to all
   12 | no thanks
   12 | yes, i agree
   12 | niet toestaan
   12 | acepto
   12 | datenschutz-manager
   12 | datenschutzhinweisen (pur)
   12 | política de privacidad
   12 | cookie verklaring
   12 | actively scan device characteristics for identification
   12 | alles aanvaarden
   12 | nuestros socios
   12 | περισσοτερες επιλογες
   11 | accept toate
   11 | aici
   11 | laat me kiezen
   11 | hyväksy kaikki
   11 | privacy statement.
   11 | our privacy policy
   11 | cookiebeleid.
   11 | beheer cookies
   11 | configureren
   11 | wordpress.com-netwerk
   11 | weitere informationen
   11 | voorkeur opslaan
   11 | jetzt abonnieren
   11 | meer informatie.
   11 | detaljer
   11 | privacypagina
   11 | vis detaljer
   11 | login here
   11 | accetto
   11 | zustimmung
   11 | aangepast
   11 | rechazar y suscribirse
   11 | συμφωνω
   10 | nee, dank je
   10 | vreau sa modific setarile individual
   10 | mai multe detalii
   10 | aangepaste instellingen
   10 | scopri di più e personalizza
   10 | aceptar cookies
   10 | polski
   10 | hier einloggen
   10 | ik ga akkoord andere opties
   10 | privacy informatie
   10 | opt out
   10 | meer info.
   10 | meer instellingen
   10 | rechazar y pagar
   10 | meer informatie...
   10 | finalità pubblicitarie
   10 | confirm
   10 | contentpass faq
   10 | kun nødvendige cookies
   10 | personalizza
   10 | política de privacidade
   10 | ik snap het!
   10 | privacy-
   10 | toon details
   10 | nostri partner
   10 | über cookies
   10 | configuration
   10 | afmelden
   10 | geen cookies
   10 | pas aan
   10 | enkel essentiële
   10 | häufig gestellten fragen (faq)
   10 | mit contentpass einloggen
   10 | accepter fermer
   10 | inicia sesión
    9 | ga verder
    9 | threads
    9 | instagram
    9 | meta ai
    9 | ray-ban meta
    9 | meta quest
    9 | meta pay
    9 | facebook lite
    9 | messenger
    9 | türkçe
    9 | frysk
    9 | voorwaarden
    9 | политике конфиденциальности
    9 | ik accepteer
    9 | ik begrijp het!
    9 | accetta tutti
    9 | lees onze privacyverklaring
    9 | privacy center
    9 | cookies blokkeren
    9 | ja, alle cookies toestaan
    9 | cookie notice
    9 | gebruiksvoorwaarden
    9 | change here
    9 | условия
    9 | accepteer geselecteerde cookies
    9 | wijzig instellingen
    9 | geavanceerde instellingen
    9 | translate
    9 | alle cookies
    9 | ik heb het begrepen
    9 | akzeptieren wie ausgewählt
    9 | https:developers.google.comanalyticsdevguidescollectionanalyticsjscookie-usage?hl=degtagjs_google_analytics_4_-_cookie_usage
    9 | akkoord met alle instellingen
    9 | configurar cookies
    9 | ustawienia zaawansowane
    9 | cookies niet accepteren
    9 | gestisci le opzioni
    9 | bekijk onze cookieverklaring
    9 | διαφωνω
    8 | mehr optionen
    8 | cookies handmatig instellen
    8 | meta store
    8 | video
    8 | sign up
    8 | deutsch
    8 | odmítnout
    8 | personaliseren
    8 | third parties
    8 | alle cookies zulassen
    8 | cookie declaration
    8 | dismiss this warning
    8 | pas je instellingen aan
    8 | aanvaard alle cookies
    8 | cookiestatementpagina
    8 | about cookies
    8 | agb
    8 | lees meer.
    8 | politique de cookies
    8 | alleen noodzakelijke cookies toestaan
    8 | cookies policy.
    8 | ok, ik ga akkoord
    8 | naar de website
    8 | afvis
    8 | partnerlijst (derden)
    8 | zgadzam się
    8 | tillad alle
    8 | más opciones
    8 | mais opções
    8 | english▼
    8 | toestemming intrekken
    8 | hyväksy
    8 | mehr erfahren
    8 | tout accepter
    8 | save preferences
    8 | data privacy
    8 | use precise geolocation data
    8 | beheren
    8 | anpassen
    8 | alle zulassen
    8 | enkel essentiële cookies
    8 | kabul et
    8 | sign in
    8 | datenschutz-einstellungen
    8 | asetukset
    8 | reject pay
    8 | reject subscribe
    8 | data protection
    8 | nuestra política de cookies
    8 | godta alle
    7 | français (france)
    7 | meer info meer info
    7 | akkoord en doorgaan
    7 | opt-out preferences
    7 | nuestros 717 socios
    7 | en
    7 | cookies akzeptieren
    7 | liste der partner (lieferanten)
    7 | werbefrei für 3,99 € monat
    7 | doeleinden weergeven
    7 | om
    7 | samtykke
    7 | concordo
    7 | mehr informationen
    7 | our 10 partners
    7 | cookie- en privacybeleid
    7 | plus doptions
    7 | privacyinstellingen afzonderlijk instellen
    7 | einstellungen verwalten
    7 | souhlasím
    7 | podrobné nastavení
    7 | impostazioni cookie
    7 | nee bedankt
    7 | wijzigen
    7 | accepteren en sluiten
    7 | report
    7 | cookies instellingen
    7 | prihvati i zatvori
    7 | saznajte više
    7 | cookie information
    7 | liste over partnere (leverandører)
    7 | zaufanych partnerów iab
    7 | fler alternativ
    7 | cookiepolitik
    7 | alles akzeptieren
    7 | lees meer...
    7 | yes, i accept
    7 | ik ga akkoord met cookies
    7 | later opnieuw tonen
    7 | partners (derde partijen)
    7 | çerez politikası
    7 | actividades de marketing digital o análisis
    7 | conexión a internet habilitada
    7 | evästeasetukset
    7 | log in here
    6 | ?
    6 | leer meer...
    6 | accetta tutto
    6 | accepter et fermer
    6 | more languages…
    6 | create new account
    6 | ok, ik begrijp het
    6 | acceptér alle
    6 | cookies.
    6 | confirm my choices
    6 | privacybeleid.
    6 | learn more about how we use cookies
    6 | kom meer te weten
    6 | узнать подробнее
    6 | wordpress.com network
    6 | privacy preferences
    6 | dowiedz się więcej
