=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/NO/3p-crawl
Date: 2026-03-27T14:43:17.616Z

--- Summary ---
Total JSON files: 99855
Files with potential popups: 77221
Total potential popups: 113516
  └─ AI-confirmed cookie popups: 35108
      └─ No reject buttons: 21897
          └─ No settings buttons: 16600 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 7210 entries) ---
Count | Button Text
------+------------
 1930 | godta alle
 1602 | ok
 1105 | detaljer
 1092 | privacy policy
  972 | learn more
  969 | avvis alle
  907 | tilpass
  813 | accept
  742 | tillat alle
  734 | om
  724 | personvernerklæring
  708 | godta
  702 | samtykke
  683 | cookie policy
  647 | avslå
  616 | avvis
  583 | les mer
  581 | kun nødvendige
  538 | ikke tillat
  526 | tillat utvalg
  509 | innstillinger
  435 | aksepter
  411 | vis detaljer
  388 | aksepter alt
  365 | got it!
  324 | mer informasjon
  277 | den er grei
  267 | kun nødvendige cookies
  235 | lagre ogeller få tilgang til informasjon på en enhet
  227 | administrer preferanser
  210 | innstillinger for informasjonskapsler
  201 | tilpass eller avvis
  200 | accepter alle
  196 | tillat alle cookies
  195 | agree and close
  192 | akseptere
  190 | cookie-erklæring
  182 | personvernerklæringen
  179 | avslå alle
  179 | accept all
  178 | personvern
  176 | afvis alle
  171 | datenschutzerklärung
  169 | impressum
  165 | cookies
  159 | more information
  151 | se preferanser
  142 | more info
  140 | got it
  138 | i agree
  133 | aksepter alle
  129 | i agree!
  124 | godta alle cookier
  120 | informasjonskapselinnstillinger
  119 | view partners
  111 | read more
  110 | close
  110 | retningslinjer for informasjonskapsler
  106 | endre innstillinger
  104 | afvis
  103 | informasjonskapsler
  103 | godta nødvendig
  102 | our partners
   99 | personlig tilpasset annonsering
   98 | no
   97 | lagre innstillinger
   96 | cookie information
   94 | les mer om informasjonskapsler
   93 | partners
   93 | her
   92 | cookies policy
   90 | view our 161 partners
   89 | show details
   88 | tillad alle
   88 | english
   87 | política de cookies
   87 | annonseleverandører
   86 | terms of use
   85 | alle akzeptieren
   84 | here
   83 | terms and conditions
   82 | accept cookies
   82 | godkjenn alle
   82 | alle amedia-nettstedene
   82 | amedia
   81 | produktutvikling og statistikk, innholdstilpasning og markedsføring utført av amedia
   80 | tillad valgte
   78 | wordpress.com network
   78 | googles retningslinjer for personvern
   77 | agree
   77 | godta kun nødvendige
   76 | jeg godtar
   76 | juster innstillingene
   74 | x
   74 | i accept
   73 | learn more…
   72 | flere valg
   72 | privatlivspolitik
   70 | her.
   69 | list of partners (vendors)
   69 | tilpasset innhold, måling av innhold, tjenesteutvikling og markedsføring
   69 | personlig tilpasset annonsering, annonserings- og innholdsmåling og tjenesteutvikling
