=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/US/3p-crawl
Date: 2026-03-27T12:15:58.168Z

--- Summary ---
Total JSON files: 99832
Files with potential popups: 63530
Total potential popups: 94316
  └─ AI-confirmed cookie popups: 19868
      └─ No reject buttons: 10735
          └─ No settings buttons: 6928 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 2111 entries) ---
Count | Button Text
------+------------
 2196 | privacy policy
 1339 | accept
  837 | ok
  707 | learn more
  639 | cookie policy
  373 | got it!
  244 | close
  240 | terms of use
  190 | got it
  184 | i agree
  174 | privacy statement
  163 | accept cookies
  155 | i understand
  151 | accept all
  149 | privacy policy.
  140 | terms of service
  140 | more info
  121 | here
  121 | x
  110 | privacy notice
  109 | i accept
  108 | terms and conditions
  108 | continue
  106 | show details
  106 | more information
  105 | agree
  101 | learn more…
   93 | opt-out preferences
   85 | accept all cookies
   83 | read more
   80 | dismiss
   79 | english
   75 | cookies policy
   72 | okay
   61 | click here
   55 | no, thanks
   52 | cookies
   50 | cookie notice
   49 | allow cookies
   46 | no
   43 | agree and close
   43 | accept close
   42 | allow selection
   39 | allow all
   37 | use of cookies
   37 | terms conditions
   36 | cookie policy.
   36 | confirm
   33 | opt out
   33 | accept and close
   31 | your privacy rights
   29 | learn more.
   29 | ok, i agree
   27 | website privacy policy
   27 | personal data processing opt outs
   26 | online privacy policy
   25 | our privacy policy
   24 | exit
   24 | iabs list of downstream participants
   24 | allow all cookies
   23 | details
   23 | about cookies
   23 | vrm by admiral
   23 | find out more
   22 | allow
   22 | close cookie notice
   22 | enter
   21 | university of illinois system cookie policy.
   21 | here.
   21 | imprint
   20 | privacy
   20 | website terms of use
   20 | google consents
   20 | accept and continue
   20 | yes, i understand.
   19 | privacy preferences
   18 | view our privacy policy
   18 | privacy and cookie policy
   18 | leave
   18 | yes
   18 | datenschutzerklärung
   17 | ok, got it
   17 | terms
   16 | accept continue
   16 | impressum
   16 | accept cookie notice
   16 | agree and continue
   16 | read our privacy policy
   16 | do not sell or share my personal info
   15 | opt-out
   15 | do not share my personal information
   15 | cookie preference center
   15 | acknowledge
   15 | uw–madison cookie notice
   15 | cookie consent tool
   14 | updatereview your cookies settings
   14 | privacy notice.
   14 | exit here
   14 | disagree and close
   14 | view privacy policy
   14 | expand or collapse this alert message.
   13 | columbia university website cookie notice
   13 | skip
   12 | about
   12 | english▼
   12 | im over 18
   12 | learn more and customize
   12 | online privacy notice
   11 | disagree
   11 | privacy choices
   11 | privacy center
   11 | understood
   10 | do not share or sell my personal information
   10 | consent
   10 | no thanks
   10 | review cookie settings
   10 | read our privacy statement (opens in new window.)
   10 | yes, i agree
   10 | arbitration
   10 | online preferences
    9 | privacy statement.
    9 | close cookie notice i agree
    9 | about us
    9 | cookie statement
    9 | waiver
    9 | close privacyterms of use policy
    9 | configuration
    9 | sign up
    9 | faq
    8 | cookie privacy policy
    8 | cookies policy.
    8 | dismiss this warning
    8 | our cookie policy
    8 | accepter
    8 | ok, got it!
    8 | learn more...
    8 | aceptar
    8 | parental control guide
    8 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
    8 | alle akzeptieren
