button_text,occurences,label
privacy policy,2151,other
accept all,742,accept
política de cookies,676,other
accept,624,accept
accept all cookies,615,accept
reject all,604,reject
sign in,602,other
accept cookies,584,accept
aceptar,568,accept
cookie policy,531,other
terms of use,492,other
log in,474,other
home,473,other
ok,420,acknowledge
cookie settings,415,settings
learn more,392,other
rechazar,357,reject
search,351,other
news,339,other
cookies settings,330,settings
sign up,279,other
configurar,270,settings
login,264,other
manage preferences,261,settings
política de privacidad,256,other
more,254,other
privacy notice,245,other
akceptuję,237,accept
about,234,other
polityce prywatności,229,other
do not sell my personal information,216,reject
subscribe,210,other
aceptar todas,209,accept
customize,208,settings
más información,208,other
aceptar todo,199,accept
resources,186,other
about us,185,other
decline,184,reject
explore,178,other
configurar cookies,177,settings
polityka prywatności,176,other
pricing,175,other
close,168,acknowledge
blog,167,other
terms of service,167,other
shop,162,other
cookie preferences,161,settings
manage cookies,158,settings
acepto,156,accept
ustawienia,156,settings
watch on,156,other
zgoda,153,accept
contact us,152,other
sports,151,other
dostosuj,150,settings
configuración de cookies,149,settings
support,149,other
aceptar todas las cookies,148,accept
akceptuj wszystkie,142,accept
aceptar cookies,141,accept
continue,141,acknowledge
reject,141,reject
más opciones,140,other
rechazar todo,139,reject
rechazar todas,134,reject
personalizar,133,settings
zgadzam się,133,accept
cookie notice,131,other
ustawienia zaawansowane,130,settings
privacy statement,129,other
zezwól na wszystkie,129,accept
szczegóły,128,other
categories,125,other
community,124,other
videos,121,other
help,119,other
privacy policy.,117,other
feedback,116,other
your privacy choices,116,other
english,115,other
o plikach cookies,115,other
akceptuj wszystko,112,accept
press hold human challenge requires verification. please press and hold the button until verified,112,other
business,111,other
denegar,111,reject
odrzuć wszystkie,111,reject
products,111,other
allow all,110,accept
history,105,other
settings,105,settings
odrzuć,104,reject
got it!,102,acknowledge
terms,102,other
terms and conditions,102,other
dowiedz się więcej,100,other
aviso legal,98,other
italiano,98,other
register,98,other
deutsch,97,other
forums,97,other
français,96,other
do not sell or share my personal information,95,reject
contact,91,other
więcej opcji,90,settings
x,90,acknowledge
saved,89,other
create a free account,88,other
en,88,other
akceptuję i przechodzę do serwisu,87,accept
customize settings,87,settings
progress,87,other
rechazar cookies,87,reject
agree,86,accept
features,86,other
submit feedback.,85,other
polski,84,other
spersonalizuj,84,settings
zaakceptuj wszystkie,84,accept
advanced settings,83,settings
nuestros socios,82,other
events,80,other
limba română,80,other
nederlands,80,other
português,80,other
menu,79,other
new,79,other
deals,78,other
preferences,78,settings
services,78,other
vendor list,78,other
donate,77,other
aceptar y continuar,76,accept
games,76,other
ustawienia plików cookie,76,settings
continue with recommended cookies,75,accept
show details,75,settings
1175 vendors,74,other
akceptuj,74,accept
here,74,other
socios,74,other
i accept,73,accept
rechazar y suscribirse,73,reject
consentimiento,71,other
enter,71,other
newsletter,71,other
tools,71,other
careers,70,other
i agree,70,accept
política de cookies.,68,other
aquí,67,other
cookies policy,66,other
newsletters,66,other
got it,64,acknowledge
learn,64,other
rechazarlas todas,64,reject
0,63,other
reviews,63,other
decline all,62,reject
"ok, got it",62,acknowledge
solutions,62,other
reject cookies,60,reject
reject optional cookies,60,reject
store,60,other
cart,59,other
configuración,59,settings
cookies,59,other
detalles,59,settings
no thanks,59,reject
partners,59,other
sale,59,other
pokaż szczegóły,58,settings
take action.,58,other
acerca de las cookies,57,other
akceptuję wszystkie,57,accept
more info,57,other
accessories,56,other
entertainment,56,other
mostrar detalles,56,settings
"precise geolocation data, and identification through device scanning",56,other
privacy,56,other
terms conditions,56,other
odmowa,55,reject
permitir todas,55,accept
more options,54,settings
polityki prywatności,54,other
get started,53,other
guides,53,other
i understand,53,acknowledge
nie zgadzam się,53,reject
faq,52,other
akceptuj wszystkie pliki cookie,51,accept
polityce cookies,51,other
trending,51,other
no acepto,50,reject
weather,50,other
account,49,other
aceptar y cerrar,49,accept
datenschutzerklärung,49,other
join now,49,other
obituaries,49,other
privacy policy page,49,other
rechazar y pagar,49,other
impressum,48,other
rozumiem,48,acknowledge
ver preferencias,48,settings
analytics storage,47,other
dismiss,47,acknowledge
eu law,47,other
gift cards,47,other
shopping,47,other
movies,46,other
recipes,46,other
continue without agreeing,45,reject
details,45,other
polityką prywatności,45,other
powered by,45,other
zaufanych partnerów,45,other
forum,44,other
zaufanych partnerów iab,44,other
whats new,43,other
download,42,other
inicia sesión,42,other
rechazar todas las cookies,42,reject
wirtualna polska,42,other
wirtualną polskę,42,other
zaufani partnerzy,42,other
discover,41,other
kids,41,other
learn more in our privacy notice,41,other
odmów,41,reject
upload,41,other
video,41,other
women,41,other
pornstars,40,other
przejdź do serwisu,40,other
reject non-essential cookies,40,reject
ajustes,39,settings
education,39,other
entendido,39,acknowledge
my account,39,other
nuestra política de cookies,39,other
opinion,39,other
reject non-essential,39,reject
tags,39,other
zamknij,39,acknowledge
zaufani partnerzy iab,39,other
locations,38,other
no,38,reject
español,37,other
nasi partnerzy (1088),37,other
"polska press, pro media",37,other
zaakceptuj wszystko,37,accept
ad,36,other
click aquí,36,other
conexión a internet habilitada,36,other
create account,36,other
men,36,other
models,36,other
odrzuć wszystko,36,reject
yes,36,accept
zezwól na wybór,36,settings
advertise,35,other
configurar tus preferencias aquí,35,settings
enterprise,35,other
més informació,35,other
necessary only,35,reject
our 1022 partners,35,other
podcasts,35,other
read more,35,other
research,35,other
skip to main content,35,other
actively scan device characteristics for identification,34,other
actividades de marketing digital o análisis,34,other
articles,34,other
company,34,other
culture,34,other
latest,34,other
lifestyle,34,other
politics,34,other
use precise geolocation data,34,other
contentpass faq,33,other
lista zaufanych partnerów,33,other
permitir la selección,33,accept
polityka cookies,33,other
submit,33,other
tylko niezbędne,33,reject
watch,33,other
aceptar y continuar gratis,32,other
alle akzeptieren,32,accept
dacord,32,acknowledge
health,32,other
manage settings,32,settings
media,32,other
partnerzy,32,other
shop now,32,other
ustawienia prywatności,32,settings
youtube,32,other
api,31,other
jobs,31,other
join,31,other
live,31,other
live sex,31,other
odrzucenie wszystkich,31,reject
tutaj,31,other
chat,30,other
collections,30,other
real estate,30,other
set your choices,30,settings
więcej informacji,30,other
almacenar la información en un dispositivo yo acceder a ella,29,accept
enable accessibility,29,other
faqs,29,other
login join,29,other
more information,29,other
premium,29,other
product,29,other
save,29,other
us,29,other
create thread,28,other
más info,28,other
permitir todas las cookies,28,accept
photos,28,other
"publicidad y contenido personalizados, medición de publicidad y contenido, investigación de audiencia y desarrollo de servicios",28,other
world,28,other
allow,27,accept
brands,27,other
finance,27,other
lista de asociados (proveedores),27,other
members,27,other
popular,27,other
travel,27,other
customise,26,settings
dostosuj zgody,26,settings
downloads,26,other
how it works,26,other
random,26,other
ustawień zaawansowanych,26,settings
zmień ustawienia,26,settings
zobacz preferencje,26,settings
contact sales,25,other
facebook,25,other
featured,25,other
"no, thanks",25,reject
personal,25,other
personalizar cookies,25,settings
reject all cookies,25,reject
sign up now,25,other
translate,25,other
ai,24,other
anmelden,24,other
channels,24,other
continuar sin aceptar,24,reject
food,24,other
gestionar opciones,24,settings
i am 18+ enter,24,other
instagram,24,other
lista partnerów (dostawców),24,other
manage cookie preferences,24,settings
reject optional,24,reject
shows,24,other
skip to content,24,other
versant,24,other
your rights,24,other
ablehnen,23,reject
confirm,23,other
help center,23,other
our terms of use,23,other
polityka plików cookies,23,other
polityka prywatności agora s.a.,23,other
zaakceptuj,23,accept
228,22,other
advertise with us,22,other
browse,22,other
cancel,22,other
cookie policy.,22,other
customize cookies,22,settings
docs,22,other
einstellungen,22,settings
enewspaper,22,other
favorites,22,other
life,22,other
more information about the rta label and compatible services can be found here,22,other
music,22,other
necessary cookies only,22,reject
podcast,22,other
restaurants,22,other
rewards,22,other
schedule,22,other
security,22,other
subscribe now,22,other
your privacy rights,22,other
accepta-les totes,21,accept
allow all cookies,21,accept
beauty,21,other
click here,21,other
follow,21,other
gear,21,other
i am 18 or older - enter,21,other
leave,21,other
legals,21,other
naszych partnerów reklamowych (1164),21,other
"no, gracias",21,reject
plans,21,other
teams,21,other
tech,21,other
zaakceptuj tylko niezbędne,21,reject
acceptar,20,accept
all,20,other
classifieds,20,other
datos de localización geográfica precisa e identificación mediante análisis de dispositivos,20,other
de acuerdo y cerrar,20,accept
declaración de privacidad,20,other
deny,20,reject
do not accept,20,reject
documentation,20,other
for business,20,other
leer más,20,other
magazine,20,other
rechazar y cerrar,20,reject
style,20,other
the dispute resolution procedures,20,other
apps,19,other
desa els canvis,19,other
developers,19,other
gestionar preferencias,19,settings
learn more...,19,other
lists,19,other
més informació sobre lús de les galetes en aquest web.,19,other
open search,19,other
people,19,other
play,19,other
rebutja-les,19,reject
things to do,19,other
accept optional cookies,18,accept
action,18,other
alle ablehnen,18,reject
best sellers,18,other
calendar,18,other
close ad,18,other
customer service,18,other
discord,18,other
find a dealer,18,other
find a store,18,other
iniciar sesión,18,other
kontakt,18,other
membership,18,other
new arrivals,18,other
okay,18,acknowledge
polityce prywatności.,18,other
politykę prywatności,18,other
preferencias,18,settings
privacidad,18,other
privacy notice.,18,other
safety,18,other
science,18,other
shoes,18,other
technology,18,other
tickets,18,other
twitter,18,other
1,17,other
acceder,17,other
add your event,17,other
agree close,17,acknowledge
alle cookies akzeptieren,17,accept
best videos!,17,other
books,17,other
commercial,17,other
condiciones de uso,17,other
consent to all,17,accept
contests,17,other
elección de cookies,17,settings
fri 12,17,other
fri 19,17,other
government,17,other
mon 15,17,other
mon 22,17,other
mon 8,17,other
mostrar los propósitos,17,settings
nuestros 701 socios,17,other
polityką cookies,17,other
recaptcha enterprise free quota,17,other
sat 13,17,other
sat 20,17,other
software for customer management,17,other
startseite,17,other
stories,17,other
sun 14,17,other
sun 21,17,other
theporndude,17,other
thu 11,17,other
us state supplement,17,other
view our partners,17,other
view privacy policy,17,other
zaakceptuj i zamknij,17,accept
zarządzaj preferencjami,17,settings
121 technology partners,16,other
de acuerdo,16,accept
solo necesarias,16,reject
solo usar cookies necesarias,16,reject
vrm by admiral,16,other
więcej o plikach cookies przeczytasz w naszej polityce prywatności.,16,other
日本語,16,other
administrar opciones,15,settings
consent,15,other
czytaj więcej,15,other
list of iab vendors,15,other
list of partners (vendors),15,other
listado completo de finalidades,15,other
opt out,15,reject
plików cookie,15,other
sus 1017 socios,15,other
ustawienia cookies,15,settings
ustawieniach,15,settings
ver 924 socios,15,other
ya tengo mi id de perfil para navegar sin cookies,15,other
accept close,14,other
configurar preferencias,14,settings
datos personales,14,other
es,14,other
gestionar los servicios,14,other
gratuita.,14,other
guardar preferencias,14,settings
manage my preferences,14,settings
odrzucam i chcę dowiedzieć się więcej,14,reject
polityka cookie,14,other
polityka prywatności gazeta.pl,14,other
potwierdzam wszystkie,14,accept
preference center,14,settings
reject all non-essential cookies,14,reject
ustawieniach plików cookie,14,settings
w porządku,14,acknowledge
zaloguj,14,other
cookie statement,13,other
dont enable,13,reject
enable all,13,accept
gestionar cookies,13,settings
legal notice,13,other
odrzucam,13,reject
odrzuć opcjonalne,13,reject
online privacy policy,13,other
preferencje,13,settings
privacy settings,13,settings
prywatność,13,other
agree and close,12,accept
agree continue,12,accept
akceptuj pliki cookie,12,accept
allow selection,12,other
atlassian cookies and tracking notice,12,other
contacto,12,other
manage,12,other
manage choices,12,settings
nuestros 1022 socios,12,other
our privacy policy,12,other
pl,12,other
polityce plików cookies,12,other
política de privacidad y cookies,12,other
poszczególnych serwisów,12,other
sección de datos,12,other
tout accepter,12,accept
ustawienia plików cookies,12,settings
warunki,12,other
zaloguj się,12,other
zarządzaj opcjami,12,settings
zaufanych partnerów tvp,12,other
zaufanych partnerów tvp (93 firm),12,other
zaufanych partnerów z iab,12,other
zaufanych partnerów z iab* (1177 firm),12,other
197 socios,11,other
717 sitios web,11,other
accept only essential cookies,11,reject
analytics,11,other
aviso de privacidad,11,other
change settings,11,settings
cookie,11,other
iniciar sesión con contentpass,11,other
odmawiam,11,reject
our 1035 partners,11,other
pokaż cele,11,other
saber más,11,other
speichern von oder zugriff auf informationen auf einem endgerät,11,other
third-party cookies,11,other
ver 1103 socios,11,other
701 socios,10,other
accept and continue,10,accept
advertising,10,other
aviso de cookies,10,other
configure,10,settings
continue with all,10,accept
datenschutzhinweisen,10,other
dostosuj ustawienia,10,settings
essential only,10,reject
hier,10,other
learn more…,10,other
leer más sobre estos propósitos,10,other
odrzucać,10,reject
"ok, zgadzam się",10,accept
partner,10,other
"personalised advertising and content, advertising and content measurement, audience research and services development",10,other
polityce plików cookie,10,other
polityka plików cookie,10,other
potwierdzam wymagane,10,reject
prywatność i warunki google,10,other
rechazar cookies opcionales,10,reject
rechazar opcionales,10,reject
salir,10,other
save preferences,10,settings
store andor access information on a device,10,other
términos,10,other
use of cookies,10,other
ver política de cookies,10,other
website privacy policy,10,other
zarządzaj ustawieniami,10,settings
zgoda na wszystkie,10,accept
1709 socios,9,other
1713 partners,9,other
administrar cookies,9,settings
analityczne pliki cookie,9,other
construction payroll software,9,other
datenschutz,9,other
denegar todas,9,reject
deny all,9,reject
essential cookies only,9,reject
establecer preferencias,9,settings
free of charge.,9,other
funkcjonalne pliki cookie (wymagane),9,reject
https:business.safety.googleprivacy,9,other
informacji o plikach cookie,9,other
nie akceptuję,9,reject
opt-out,9,reject
our 1014 partners,9,other
personal data,9,other
personalizuj pliki cookie,9,settings
política de privacidad.,9,other
privacy choices,9,other
privacy manager,9,other
reklamowe pliki cookie,9,other
revocar consentimiento,9,reject
thats ok,9,acknowledge
ustawienia reklam,9,other
website terms of use,9,other
więcej,9,other
akzeptieren,8,accept
allow essential cookies,8,reject
change my preferences,8,settings
condiciones de contratación,8,other
confirm my choices,8,acknowledge
cookie consent tool,8,other
cookie privacy policy.,8,other
cookies notice,8,other
cookies policy.,8,other
cookiescript,8,other
customize my experience,8,settings
datenschutzeinstellungen,8,settings
exit here,8,other
im over 18,8,other
leer más sobre cookies,8,other
naszymi 1022 partnerami,8,other
"no, ajustar",8,settings
o plikach cookie,8,other
odrzuć wszystkie pliki cookie,8,reject
online services user agreement,8,other
"personalisierte werbung und inhalte, messung von werbeleistung und der performance von inhalten, zielgruppenforschung sowie entwicklung und verbesserung von angeboten",8,accept
polityce prywatności agora s.a.,8,other
polityce prywatności i cookies,8,other
polityce prywatności wyborcza.pl,8,other
política de privacitat,8,other
pozwól mi wybrać,8,settings
rebutjar,8,reject
rechazar y suscribirte,8,reject
regulamin,8,other
reject and pay,8,other
report,8,other
required,8,reject
save cookie settings,8,settings
sharing data and profiles for analysis and personalised advertising for advertisers and advertising companies on the internet.,8,reject
sharing data and profiles for analysis and personalised advertising from advertisers for our advertising campaigns,8,reject
tc,8,other
technical necessary information,8,other
"terms and conditions,",8,other
terms of use.,8,other
use necessary cookies only,8,reject
view our privacy policy,8,other
wyrażam zgodę,8,accept
1736 partners,7,other
717 other websites,7,other
accept all above and enter the site,7,accept
accept all continue,7,accept
accetta,7,accept
affiliates,7,other
akceptuj niezbędne,7,reject
aquí.,7,other
aviso sobre cookies,7,other
configuración de las cookies,7,settings
configurar las cookies,7,settings
consent settings,7,settings
continuer sans accepter,7,reject
cookie manager,7,settings
cookies estrictamente necesarias,7,reject
decline non-essential cookies,7,reject
decline optional cookies,7,reject
deny surf ad-free,7,other
do not sell or share my personal info,7,reject
documentación de cookies,7,other
estoy de acuerdo,7,accept
google analytics storage,7,other
googles privacy and terms page,7,other
i do not agree,7,reject
kontynuuj bez akceptacji,7,reject
kontynuuj bez wyrażania zgody,7,reject
learn more.,7,other
log in here,7,other
log in with contentpass,7,other
mit contentpass einloggen,7,other
nie,7,reject
niezbędne,7,reject
no aceptar,7,reject
online privacy notice,7,other
options,7,other
politica de cookies,7,other
politykę plików cookie,7,other
polska (poland),7,other
protecting minors,7,other
przeczytaj więcej o tych celach,7,other
purposes,7,other
rechazar y registrarse,7,reject
reject all and subscribe,7,other
reject pay,7,other
sekcji szczegółów,7,other
summary,7,other
términos de uso,7,other
unterstützte internetverbindung,7,other
ustawienia preferencji,7,settings
vendors (925),7,other
"werbefrei für 3,99€ monat",7,other
zarządzaj cookies,7,settings
zarządzaj plikami cookie,7,settings
zarządzanie preferencjami,7,settings
zezwól na wszystkie ciasteczka,7,accept
+info,6,other
.,6,other
1012 socios,6,other
1181 vendors,6,other
accept settings close,6,other
accepta-ho tot,6,accept
accepter,6,accept
accepteren,6,accept
aceptar las cookies,6,accept
administrar preferencias,6,settings
ajustes de cookies,6,settings
akceptuj wybrane,6,accept
akceptuje wszystkie,6,accept
configuració,6,other
configuración de anuncios,6,other
configuration,6,other
cookie preference center,6,settings
cookieconsent preferences,6,settings
customise cookies,6,settings
data protection,6,other
declinar,6,reject
denegar todo,6,reject
disagree and close,6,reject
functional,6,other
gestión cookies,6,settings
guce,6,other
i accept all cookies,6,accept
i confirm all,6,accept
i decline,6,reject
i disagree,6,reject
iab and google vendors,6,other
its partners,6,other
kontynuuj bez akceptowania,6,reject
korzystaj wyłącznie z niezbędnych plików cookie,6,reject
list of partners,6,other
lista de proveedores,6,other
manage cookie settings,6,settings
manage your preferences,6,settings
manage your privacy choices,6,settings
nie wyrażam zgody,6,reject
"nie, dziękuję",6,reject
"no, manage settings",6,settings
"no, thank you",6,reject
notice of financial incentive,6,other
nuestros 1711 socios,6,other
ochrona danych osobowych,6,other
odrzucam wszystkie,6,reject
only necessary,6,reject
our 1011 partners,6,other
paramétrer,6,other
please refer to our cookie notice for more information about the way we use cookies.,6,other
politique de confidentialité,6,other
polityce cookies.,6,other
polityka prywatności eurozet sp. z o.o. i,6,other
política de protección de datos,6,other
privacy and cookie policy,6,other
przechowywanie informacji na urządzeniu lub dostęp do nich,6,other
read our cookie policy,6,other
read our privacy policy,6,other
reject all but necessary,6,reject
reject unnecessary cookies,6,reject
required only,6,reject
see further information and configure your preferences,6,settings
strictly necessary,6,reject
third-party services,6,other
tout refuser,6,reject
upmc websiteemail terms of use,6,other
ustaw preferencje,6,settings
ver nuestros socios,6,other
ver socios,6,other
view more info,6,other
zaakceptuj wszystkie pliki cookie,6,accept
zapisz ustawienia,6,settings
zarządzaj moimi ustawieniami,6,settings
zmieniam ustawienia,6,settings
1618 technology partners,5,other
968 socios,5,other
accept necessary,5,reject
accept necessary cookies,5,reject
aceptar solo las cookies esenciales,5,reject
advertising cookies,5,other
akzeptieren und weiter,5,accept
allow cookies,5,accept
allow only necessary,5,reject
analytics cookies,5,other
cerrar,5,acknowledge
clicking here,5,other
conditions,5,other
configuraciones,5,other
configuración de publicidad,5,other
consenthub,5,other
consentiment,5,accept
continue to site,5,other
cookie consent options,5,settings
cookie notice.,5,other
custom settings,5,settings
customise my choices,5,settings
datenschutzhinweise,5,other
declaración de cookies,5,other
deny all cookies,5,reject
detalls,5,settings
dowiedz się więcej.,5,other
edytuj ustawienia,5,settings
functional cookies (required),5,reject
funkcjonalność,5,other
here.,5,other
i accept cookies,5,accept
imprint,5,other
informació,5,other
inicia sesión aquí,5,other
internet privacy policy,5,other
know more,5,other
